Date,transect,sample,height(cm)
2023-03-17,1,1,11
2023-03-17,1,2,12
2023-03-17,1,3,15
2023-03-17,1,4,14
2023-03-17,1,5,12
2023-03-17,1,6,11
2023-03-17,2,1,15
2023-03-17,2,2,9
2023-03-17,2,3,13
2023-03-17,2,4,12
2023-03-17,2,5,12
2023-03-17,2,6,13
2023-03-17,3,1,14
2023-03-17,3,2,14
2023-03-17,3,3,12
2023-03-17,3,4,12
2023-03-17,3,5,14
2023-03-17,3,6,7
2023-03-17,4,1,10
2023-03-17,4,2,8
2023-03-17,4,3,13
2023-03-17,4,4,13
2023-03-17,4,5,13
2023-03-17,4,6,12
2023-04-04,1,1,17
2023-04-04,1,2,21
2023-04-04,1,3,26
2023-04-04,1,4,33
2023-04-04,1,5,22
2023-04-04,1,6,22
2023-04-04,2,1,24
2023-04-04,2,2,14
2023-04-04,2,3,24
2023-04-04,2,4,23
2023-04-04,2,5,20
2023-04-04,2,6,25
2023-04-04,3,1,19
2023-04-04,3,2,21
2023-04-04,3,3,20
2023-04-04,3,4,22
2023-04-04,3,5,25
2023-04-04,3,6,16
2023-04-04,4,1,18
2023-04-04,4,2,18
2023-04-04,4,3,22
2023-04-04,4,4,20
2023-04-04,4,5,24
2023-04-04,4,6,20
2023-04-14,1,1,23
2023-04-14,1,2,25
2023-04-14,1,3,32
2023-04-14,1,4,31
2023-04-14,1,5,33
2023-04-14,1,6,30
2023-04-14,2,1,33
2023-04-14,2,2,20
2023-04-14,2,3,31
2023-04-14,2,4,29
2023-04-14,2,5,28
2023-04-14,2,6,31
2023-04-14,3,1,29
2023-04-14,3,2,31
2023-04-14,3,3,30
2023-04-14,3,4,27
2023-04-14,3,5,31
2023-04-14,3,6,25
2023-04-14,4,1,23
2023-04-14,4,2,26
2023-04-14,4,3,28
2023-04-14,4,4,28
2023-04-14,4,5,29
2023-04-14,4,6,29
2023-04-21,1,1,27
2023-04-21,1,2,31
2023-04-21,1,3,40
2023-04-21,1,4,38
2023-04-21,1,5,36
2023-04-21,1,6,37
2023-04-21,2,1,38
2023-04-21,2,2,27
2023-04-21,2,3,37
2023-04-21,2,4,38
2023-04-21,2,5,34
2023-04-21,2,6,37
2023-04-21,3,1,30
2023-04-21,3,2,33
2023-04-21,3,3,31
2023-04-21,3,4,34
2023-04-21,3,5,36
2023-04-21,3,6,30
2023-04-21,4,1,28
2023-04-21,4,2,27
2023-04-21,4,3,35
2023-04-21,4,4,33
2023-04-21,4,5,37
2023-04-21,4,6,32
2023-05-05,1,1,48
2023-05-05,1,2,47
2023-05-05,1,3,62
2023-05-05,1,4,59
2023-05-05,1,5,57
2023-05-05,1,6,56
2023-05-05,2,1,58
2023-05-05,2,2,49
2023-05-05,2,3,58
2023-05-05,2,4,56
2023-05-05,2,5,57
2023-05-05,2,6,60
2023-05-05,3,1,49
2023-05-05,3,2,55
2023-05-05,3,3,41
2023-05-05,3,4,54
2023-05-05,3,5,59
2023-05-05,3,6,54
2023-05-05,4,1,46
2023-05-05,4,2,45
2023-05-05,4,3,54
2023-05-05,4,4,50
2023-05-05,4,5,54
2023-05-05,4,6,53
2023-05-19,1,1,68
2023-05-19,1,2,67
2023-05-19,1,3,79
2023-05-19,1,4,77
2023-05-19,1,5,73
2023-05-19,1,6,76
2023-05-19,2,1,74
2023-05-19,2,2,69
2023-05-19,2,3,75
2023-05-19,2,4,76
2023-05-19,2,5,76
2023-05-19,2,6,75
2023-05-19,3,1,68
2023-05-19,3,2,74
2023-05-19,3,3,65
2023-05-19,3,4,74
2023-05-19,3,5,78
2023-05-19,3,6,75
2023-05-19,4,1,70
2023-05-19,4,2,67
2023-05-19,4,3,73
2023-05-19,4,4,72
2023-05-19,4,5,74
2023-05-19,4,6,76
2023-05-31,1,1,90
2023-05-31,1,2,89
2023-05-31,1,3,100
2023-05-31,1,4,97
2023-05-31,1,5,96
2023-05-31,1,6,98
2023-05-31,2,1,96
2023-05-31,2,2,88
2023-05-31,2,3,97
2023-05-31,2,4,95
2023-05-31,2,5,95
2023-05-31,2,6,100
2023-05-31,3,1,86
2023-05-31,3,2,96
2023-05-31,3,3,98
2023-05-31,3,4,95
2023-05-31,3,5,100
2023-05-31,3,6,95
2023-05-31,4,1,91
2023-05-31,4,2,88
2023-05-31,4,3,94
2023-05-31,4,4,98
2023-05-31,4,5,97
2023-05-31,4,6,95
2023-06-19,1,1,93
2023-06-19,1,2,96
2023-06-19,1,3,107
2023-06-19,1,4,104
2023-06-19,1,5,103
2023-06-19,1,6,102
2023-06-19,2,1,102
2023-06-19,2,2,98
2023-06-19,2,3,103
2023-06-19,2,4,104
2023-06-19,2,5,102
2023-06-19,2,6,104
2023-06-19,3,1,95
2023-06-19,3,2,99
2023-06-19,3,3,102
2023-06-19,3,4,103
2023-06-19,3,5,104
2023-06-19,3,6,103
2023-06-19,4,1,95
2023-06-19,4,2,94
2023-06-19,4,3,99
2023-06-19,4,4,94
2023-06-19,4,5,99
2023-06-19,4,6,97
