FILE	DATE	  TIME		SITE 	TR     	LAI   	SEL	DIFN	MTA	SEM	SMP
50	20220919  11:12:19 	OE2    	A      	3.20	0.30	0.099	57.	5.	10

ANGLES	7.000	23.00	38.00	53.00	68.00
CNTCT#	1.510	1.498	1.712	1.888	1.340
STDDEV	1.331	0.835	0.634	0.551	0.233
DISTS 	1.008	1.087	1.270	1.662	2.670
GAPS  	0.218	0.196	0.114	0.043	0.028

A	  1	11:13:01	52.36	58.90	55.07	50.95	49.84
B	  2	11:13:16	3.131	1.861	1.533	0.335	0.992
A	  3	11:13:28	52.76	43.72	52.37	49.72	61.04
B	  4	11:13:33	2.439	8.786	3.288	0.752	0.699
A	  5	11:13:43	51.20	43.38	48.93	49.76	60.83
B	  6	11:13:49	38.39	23.28	8.660	3.839	3.424
A	  7	11:14:01	52.44	42.60	47.72	48.76	60.31
B	  8	11:14:06	43.90	14.37	11.32	2.638	2.043
A	  9	11:14:21	52.43	42.47	46.01	48.23	60.39
B	 10	11:14:26	43.65	23.31	20.47	5.333	3.236
A	 11	11:14:36	55.94	42.32	45.39	47.84	59.99
B	 12	11:14:44	1.965	14.04	6.812	2.421	2.442
A	 13	11:15:00	55.40	43.67	43.11	47.21	60.19
B	 14	11:15:07	30.82	4.831	6.802	3.207	2.898
A	 15	11:15:16	53.89	44.42	41.97	47.01	60.21
B	 16	11:15:21	1.943	2.748	1.991	0.877	0.634
A	 17	11:15:33	55.12	44.67	41.09	47.07	59.97
B	 18	11:15:38	24.57	18.01	6.946	6.871	2.513
A	 19	11:15:48	55.55	45.52	39.80	46.82	58.74
B	 20	11:15:52	30.11	6.663	2.319	2.570	0.838


