system:time_start,meanEVI
"Jan 19, 2021",0.124
"Mar 30, 2021",0.633
"Apr 4, 2021",0.81
"Apr 14, 2021",0.911
"Apr 24, 2021",0.899
"May 14, 2021",1.034
"May 29, 2021",0.887
"Jun 3, 2021",0.386
"Jun 13, 2021",0.756
"Jun 18, 2021",0.67
"Jul 18, 2021",0.936
"Jul 23, 2021",0.327
"Aug 12, 2021",0.943
"Sep 1, 2021",0.886
"Sep 6, 2021",0.366
"Oct 1, 2021",0.923
"Oct 16, 2021",0.882
"Jan 29, 2022",0.444
"Feb 8, 2022",0.406
"Feb 13, 2022",0.381
"Feb 28, 2022",0.455
"Mar 5, 2022",0.451
"Mar 10, 2022",0.487
"Mar 20, 2022",0.478
"Mar 25, 2022",0.511
"Apr 14, 2022",0.793
"Apr 19, 2022",0.947
"May 14, 2022",0.917
"May 19, 2022",0.395
"Jun 13, 2022",0.861
"Jun 18, 2022",0.797
"Jun 23, 2022",0.83
"Jul 3, 2022",0.523
"Jul 8, 2022",0.763
"Jul 13, 2022",0.754
"Jul 18, 2022",0.863
"Jul 28, 2022",1.132
"Aug 2, 2022",0.821
"Aug 12, 2022",0.374
"Aug 17, 2022",0.481
"Aug 22, 2022",0.573
"Aug 27, 2022",0.867
"Sep 21, 2022",0.731
"Oct 6, 2022",0.958
"Oct 16, 2022",0.392
"Oct 26, 2022",0.338
"Nov 10, 2022",0.406
"Feb 3, 2023",0.522
"Mar 15, 2023",0.539
"Apr 4, 2023",0.672
"Apr 9, 2023",0.704
"May 4, 2023",0.807
"May 29, 2023",0.778
"Jun 3, 2023",0.879
"Jun 8, 2023",0.796
"Jun 13, 2023",0.801
"Jun 23, 2023",0.695
"Jul 23, 2023",0.192
"Aug 22, 2023",0.18
"Sep 1, 2023",0.427
"Sep 6, 2023",0.572
"Sep 11, 2023",0.819
"Sep 16, 2023",0.733
"Sep 26, 2023",0.417
"Oct 1, 2023",0.193
"Oct 6, 2023",0.139
"Oct 11, 2023",0.119
"Oct 16, 2023",0.142
