system:time_start,meanEVI
"Jan 24, 2021",0.014
"Feb 23, 2021",0.352
"Mar 30, 2021",0.612
"Apr 4, 2021",0.726
"Apr 24, 2021",0.84
"May 29, 2021",0.949
"Jun 13, 2021",0.635
"Jun 18, 2021",0.658
"Jul 18, 2021",0.981
"Jul 23, 2021",0.319
"Aug 12, 2021",0.814
"Sep 1, 2021",0.876
"Sep 6, 2021",0.337
"Oct 1, 2021",0.871
"Oct 16, 2021",0.894
"Oct 21, 2021",0.731
"Oct 31, 2021",
"Jan 14, 2022",0.352
"Feb 8, 2022",0.361
"Feb 13, 2022",0.376
"Feb 28, 2022",0.432
"Mar 5, 2022",0.433
"Mar 10, 2022",0.391
"Mar 20, 2022",0.426
"Mar 25, 2022",0.47
"Apr 14, 2022",0.734
"Jun 13, 2022",0.866
"Jun 18, 2022",0.783
"Jun 23, 2022",0.775
"Jul 3, 2022",0.457
"Jul 8, 2022",0.659
"Jul 13, 2022",0.706
"Jul 18, 2022",0.751
"Aug 2, 2022",0.71
"Aug 12, 2022",0.355
"Aug 22, 2022",0.435
"Sep 21, 2022",0.577
"Oct 6, 2022",0.612
"Oct 26, 2022",0.275
"Nov 10, 2022",0.335
"Feb 13, 2023",0.88
"Mar 15, 2023",0.402
"Apr 4, 2023",0.518
"Apr 9, 2023",0.575
"May 29, 2023",0.7
"Jun 3, 2023",0.726
"Jun 13, 2023",0.656
"Jun 28, 2023",0.374
"Aug 22, 2023",0.174
"Sep 6, 2023",0.451
"Sep 11, 2023",0.513
