system:time_start,meanEVI
"Jan 19, 2021",0.123
"Mar 30, 2021",0.625
"Apr 4, 2021",0.791
"Apr 14, 2021",0.9
"Apr 24, 2021",0.896
"May 14, 2021",1.038
"May 29, 2021",0.884
"Jun 3, 2021",0.392
"Jun 13, 2021",0.782
"Jun 18, 2021",0.664
"Jul 18, 2021",0.927
"Jul 23, 2021",0.33
"Aug 12, 2021",0.938
"Sep 1, 2021",0.868
"Sep 6, 2021",0.368
"Oct 1, 2021",0.925
"Oct 16, 2021",0.881
"Jan 29, 2022",0.458
"Feb 8, 2022",0.412
"Feb 13, 2022",0.394
"Feb 28, 2022",0.463
"Mar 5, 2022",0.454
"Mar 10, 2022",0.496
"Mar 20, 2022",0.469
"Mar 25, 2022",0.488
"Apr 14, 2022",0.782
"Apr 19, 2022",0.95
"May 14, 2022",0.915
"May 19, 2022",0.398
"Jun 13, 2022",0.842
"Jun 18, 2022",0.803
"Jun 23, 2022",0.825
"Jul 3, 2022",0.52
"Jul 8, 2022",0.753
"Jul 13, 2022",0.747
"Jul 18, 2022",0.861
"Jul 28, 2022",1.139
"Aug 2, 2022",0.825
"Aug 12, 2022",0.376
"Aug 22, 2022",0.577
"Aug 27, 2022",0.885
"Sep 21, 2022",0.749
"Oct 6, 2022",0.962
"Oct 16, 2022",0.393
"Oct 26, 2022",0.327
"Nov 10, 2022",0.403
"Feb 3, 2023",0.523
"Mar 15, 2023",0.55
"Apr 4, 2023",0.687
"Apr 9, 2023",0.713
"May 4, 2023",0.801
"May 29, 2023",0.774
"Jun 3, 2023",0.887
"Jun 8, 2023",0.807
"Jun 13, 2023",0.798
"Jun 23, 2023",0.673
"Jul 23, 2023",0.19
"Aug 22, 2023",0.225
"Sep 1, 2023",0.592
"Sep 6, 2023",0.74
"Sep 11, 2023",0.993
"Sep 16, 2023",0.818
"Sep 26, 2023",0.408
"Oct 1, 2023",0.189
"Oct 6, 2023",0.144
"Oct 11, 2023",0.118
"Oct 16, 2023",0.141
