system:time_start,meanGNDVI
"Jan 19, 2021",-0.04
"Mar 30, 2021",0.717
"Apr 4, 2021",0.771
"Apr 14, 2021",0.79
"Apr 24, 2021",0.797
"May 14, 2021",0.815
"May 29, 2021",0.789
"Jun 3, 2021",0.493
"Jun 13, 2021",0.606
"Jun 18, 2021",0.701
"Jul 18, 2021",0.749
"Jul 23, 2021",0.508
"Aug 12, 2021",0.745
"Sep 1, 2021",0.812
"Sep 6, 2021",0.563
"Oct 1, 2021",0.785
"Oct 16, 2021",0.799
"Jan 29, 2022",0.628
"Feb 8, 2022",0.671
"Feb 13, 2022",0.65
"Feb 28, 2022",0.666
"Mar 5, 2022",0.661
"Mar 10, 2022",0.634
"Mar 20, 2022",0.639
"Mar 25, 2022",0.661
"Apr 14, 2022",0.765
"Apr 19, 2022",0.736
"May 14, 2022",0.643
"May 19, 2022",0.535
"Jun 13, 2022",0.78
"Jun 18, 2022",0.766
"Jun 23, 2022",0.757
"Jul 3, 2022",0.589
"Jul 8, 2022",0.705
"Jul 13, 2022",0.758
"Jul 18, 2022",0.762
"Jul 28, 2022",0.571
"Aug 2, 2022",0.754
"Aug 12, 2022",0.586
"Aug 17, 2022",0.461
"Aug 22, 2022",0.623
"Aug 27, 2022",0.633
"Sep 21, 2022",0.671
"Oct 6, 2022",0.622
"Oct 16, 2022",0.477
"Oct 26, 2022",0.549
"Nov 10, 2022",0.587
"Feb 3, 2023",0.627
"Mar 15, 2023",0.673
"Apr 4, 2023",0.729
"Apr 9, 2023",0.714
"May 4, 2023",0.757
"May 29, 2023",0.824
"Jun 3, 2023",0.804
"Jun 8, 2023",0.793
"Jun 13, 2023",0.759
"Jun 23, 2023",0.668
"Jul 23, 2023",0.349
"Aug 22, 2023",0.375
"Sep 1, 2023",0.481
"Sep 6, 2023",0.558
"Sep 11, 2023",0.565
"Sep 16, 2023",0.678
"Sep 26, 2023",0.552
"Oct 1, 2023",0.38
"Oct 6, 2023",0.383
"Oct 11, 2023",0.354
"Oct 16, 2023",0.389
