system:time_start,meanGNDVI
"Jan 19, 2021",-0.038
"Mar 30, 2021",0.709
"Apr 4, 2021",0.765
"Apr 14, 2021",0.785
"Apr 24, 2021",0.793
"May 14, 2021",0.81
"May 29, 2021",0.79
"Jun 3, 2021",0.497
"Jun 13, 2021",0.622
"Jun 18, 2021",0.695
"Jul 18, 2021",0.749
"Jul 23, 2021",0.512
"Aug 12, 2021",0.745
"Sep 1, 2021",0.812
"Sep 6, 2021",0.563
"Oct 1, 2021",0.785
"Oct 16, 2021",0.796
"Jan 29, 2022",0.633
"Feb 8, 2022",0.677
"Feb 13, 2022",0.652
"Feb 28, 2022",0.667
"Mar 5, 2022",0.656
"Mar 10, 2022",0.638
"Mar 20, 2022",0.634
"Mar 25, 2022",0.653
"Apr 14, 2022",0.759
"Apr 19, 2022",0.74
"May 14, 2022",0.648
"May 19, 2022",0.536
"Jun 13, 2022",0.775
"Jun 18, 2022",0.761
"Jun 23, 2022",0.753
"Jul 3, 2022",0.585
"Jul 8, 2022",0.7
"Jul 13, 2022",0.755
"Jul 18, 2022",0.762
"Jul 28, 2022",0.565
"Aug 2, 2022",0.749
"Aug 12, 2022",0.592
"Aug 22, 2022",0.629
"Aug 27, 2022",0.613
"Sep 21, 2022",0.675
"Oct 6, 2022",0.619
"Oct 16, 2022",0.477
"Oct 26, 2022",0.541
"Nov 10, 2022",0.582
"Feb 3, 2023",0.631
"Mar 15, 2023",0.668
"Apr 4, 2023",0.738
"Apr 9, 2023",0.715
"May 4, 2023",0.758
"May 29, 2023",0.814
"Jun 3, 2023",0.799
"Jun 8, 2023",0.788
"Jun 13, 2023",0.753
"Jun 23, 2023",0.659
"Jul 23, 2023",0.351
"Aug 22, 2023",0.41
"Sep 1, 2023",0.546
"Sep 6, 2023",0.623
"Sep 11, 2023",0.611
"Sep 16, 2023",0.718
"Sep 26, 2023",0.54
"Oct 1, 2023",0.38
"Oct 6, 2023",0.391
"Oct 11, 2023",0.361
"Oct 16, 2023",0.385
