system:time_start,meanMCARI
"Feb 23, 2021",0.061
"Feb 28, 2021",0.016
"Mar 30, 2021",0.128
"Apr 4, 2021",0.16
"Apr 14, 2021",0.225
"Apr 24, 2021",0.217
"May 9, 2021",0.127
"May 14, 2021",0.267
"May 29, 2021",0.342
"Jun 3, 2021",0.112
"Jun 13, 2021",0.15
"Jun 18, 2021",0.178
"Jun 23, 2021",0.147
"Jul 18, 2021",0.363
"Jul 23, 2021",0.078
"Aug 12, 2021",0.296
"Aug 27, 2021",0.049
"Sep 1, 2021",0.279
"Sep 6, 2021",0.084
"Sep 11, 2021",0.056
"Sep 21, 2021",0.066
"Oct 1, 2021",0.289
"Oct 6, 2021",0.019
"Oct 16, 2021",0.289
"Oct 21, 2021",0.177
"Oct 31, 2021",0.022
"Dec 20, 2021",0.031
"Jan 14, 2022",0.058
"Jan 19, 2022",0.015
"Jan 24, 2022",0.018
"Jan 29, 2022",0.057
"Feb 8, 2022",0.071
"Feb 13, 2022",0.072
"Feb 23, 2022",0.018
"Feb 28, 2022",0.074
"Mar 5, 2022",0.073
"Mar 10, 2022",0.06
"Mar 20, 2022",0.064
"Mar 25, 2022",0.07
"Apr 4, 2022",0.098
"Apr 14, 2022",0.188
"Apr 19, 2022",0.137
"May 9, 2022",0.078
"May 14, 2022",0.358
"May 19, 2022",0.108
"Jun 13, 2022",0.304
"Jun 18, 2022",0.19
"Jun 23, 2022",0.211
"Jul 3, 2022",0.121
"Jul 8, 2022",0.186
"Jul 13, 2022",0.202
"Jul 18, 2022",0.169
"Jul 28, 2022",0.026
"Aug 2, 2022",0.122
"Aug 7, 2022",0.034
"Aug 12, 2022",0.073
"Aug 22, 2022",0.091
"Sep 1, 2022",0.034
"Sep 11, 2022",0.065
"Sep 21, 2022",0.139
"Oct 6, 2022",0.182
"Oct 16, 2022",0.063
"Oct 26, 2022",0.063
"Nov 10, 2022",0.082
"Feb 3, 2023",0.093
"Feb 8, 2023",0.018
"Feb 13, 2023",0.009
"Mar 5, 2023",0.016
"Mar 15, 2023",0.069
"Apr 4, 2023",0.075
"Apr 9, 2023",0.099
"May 4, 2023",0.07
"May 29, 2023",0.112
"Jun 3, 2023",0.089
"Jun 8, 2023",0.088
"Jun 13, 2023",0.089
"Jun 23, 2023",0.096
"Jun 28, 2023",0.055
"Jul 13, 2023",0.037
"Jul 23, 2023",0.019
"Aug 22, 2023",0.025
"Sep 1, 2023",0.064
"Sep 6, 2023",0.09
"Sep 11, 2023",0.081
"Sep 16, 2023",0.164
"Sep 26, 2023",0.073
"Oct 1, 2023",0.019
"Oct 6, 2023",0.013
"Oct 11, 2023",0.008
"Oct 16, 2023",0.009
