date,meanMCARI
24-Jan-21,0.019
23-Feb-21,0.062
30-Mar-21,0.131
4-Apr-21,0.16
24-Apr-21,0.223
29-May-21,0.343
13-Jun-21,0.165
18-Jun-21,0.181
18-Jul-21,0.373
23-Jul-21,0.082
12-Aug-21,0.293
1-Sep-21,0.263
6-Sep-21,0.088
1-Oct-21,0.297
16-Oct-21,0.298
21-Oct-21,0.151
31-Oct-21,
14-Jan-22,0.061
8-Feb-22,0.087
13-Feb-22,0.077
28-Feb-22,0.079
5-Mar-22,0.079
10-Mar-22,0.066
20-Mar-22,0.064
25-Mar-22,0.074
14-Apr-22,0.201
13-Jun-22,0.31
18-Jun-22,0.192
23-Jun-22,0.211
3-Jul-22,0.135
8-Jul-22,0.199
13-Jul-22,0.212
18-Jul-22,0.184
2-Aug-22,0.124
12-Aug-22,0.076
22-Aug-22,0.086
21-Sep-22,0.134
6-Oct-22,0.18
26-Oct-22,0.061
10-Nov-22,0.079
13-Feb-23,0.013
15-Mar-23,0.063
4-Apr-23,0.067
9-Apr-23,0.087
29-May-23,0.101
3-Jun-23,0.077
13-Jun-23,0.073
28-Jun-23,0.049
22-Aug-23,0.022
6-Sep-23,0.089
11-Sep-23,0.079
