system:time_start,meanMCARI
"Jan 19, 2021",0.025
"Mar 30, 2021",0.131
"Apr 4, 2021",0.157
"Apr 14, 2021",0.223
"Apr 24, 2021",0.214
"May 14, 2021",0.269
"May 29, 2021",0.343
"Jun 3, 2021",0.116
"Jun 13, 2021",0.165
"Jun 18, 2021",0.181
"Jul 18, 2021",0.373
"Jul 23, 2021",0.082
"Aug 12, 2021",0.293
"Sep 1, 2021",0.263
"Sep 6, 2021",0.088
"Oct 1, 2021",0.283
"Oct 16, 2021",0.291
"Jan 29, 2022",0.067
"Feb 8, 2022",0.086
"Feb 13, 2022",0.077
"Feb 28, 2022",0.079
"Mar 5, 2022",0.078
"Mar 10, 2022",0.064
"Mar 20, 2022",0.064
"Mar 25, 2022",0.073
"Apr 14, 2022",0.184
"Apr 19, 2022",0.13
"May 14, 2022",0.357
"May 19, 2022",0.112
"Jun 13, 2022",0.31
"Jun 18, 2022",0.192
"Jun 23, 2022",0.211
"Jul 3, 2022",0.131
"Jul 8, 2022",0.199
"Jul 13, 2022",0.212
"Jul 18, 2022",0.173
"Jul 28, 2022",0.025
"Aug 2, 2022",0.124
"Aug 12, 2022",0.076
"Aug 17, 2022",0.043
"Aug 22, 2022",0.086
"Aug 27, 2022",0.096
"Sep 21, 2022",0.134
"Oct 6, 2022",0.18
"Oct 16, 2022",0.067
"Oct 26, 2022",0.061
"Nov 10, 2022",0.079
"Feb 3, 2023",0.082
"Mar 15, 2023",0.063
"Apr 4, 2023",0.067
"Apr 9, 2023",0.087
"May 4, 2023",0.061
"May 29, 2023",0.101
"Jun 3, 2023",0.077
"Jun 8, 2023",0.073
"Jun 13, 2023",0.073
"Jun 23, 2023",0.08
"Jul 23, 2023",0.016
"Aug 22, 2023",0.022
"Sep 1, 2023",0.062
"Sep 6, 2023",0.088
"Sep 11, 2023",0.079
"Sep 16, 2023",0.16
"Sep 26, 2023",0.066
"Oct 1, 2023",0.017
"Oct 6, 2023",0.012
"Oct 11, 2023",0.009
"Oct 16, 2023",0.008
