system:time_start,meanNDRE
"Jan 19, 2021",-0.051
"Mar 30, 2021",0.549
"Apr 4, 2021",0.636
"Apr 14, 2021",0.664
"Apr 24, 2021",0.684
"May 14, 2021",0.721
"May 29, 2021",0.674
"Jun 3, 2021",0.256
"Jun 13, 2021",0.462
"Jun 18, 2021",0.563
"Jul 18, 2021",0.627
"Jul 23, 2021",0.266
"Aug 12, 2021",0.63
"Sep 1, 2021",0.698
"Sep 6, 2021",0.316
"Oct 1, 2021",0.678
"Oct 16, 2021",0.7
"Jan 29, 2022",0.386
"Feb 8, 2022",0.408
"Feb 13, 2022",0.4
"Feb 28, 2022",0.442
"Mar 5, 2022",0.451
"Mar 10, 2022",0.414
"Mar 20, 2022",0.435
"Mar 25, 2022",0.486
"Apr 14, 2022",0.635
"Apr 19, 2022",0.646
"May 14, 2022",0.509
"May 19, 2022",0.298
"Jun 13, 2022",0.67
"Jun 18, 2022",0.646
"Jun 23, 2022",0.636
"Jul 3, 2022",0.395
"Jul 8, 2022",0.555
"Jul 13, 2022",0.627
"Jul 18, 2022",0.649
"Jul 28, 2022",0.502
"Aug 2, 2022",0.643
"Aug 12, 2022",0.345
"Aug 17, 2022",0.282
"Aug 22, 2022",0.45
"Aug 27, 2022",0.49
"Sep 21, 2022",0.519
"Oct 6, 2022",0.478
"Oct 16, 2022",0.265
"Oct 26, 2022",0.291
"Nov 10, 2022",0.365
"Feb 3, 2023",0.408
"Mar 15, 2023",0.476
"Apr 4, 2023",0.592
"Apr 9, 2023",0.571
"May 4, 2023",0.651
"May 29, 2023",0.731
"Jun 3, 2023",0.722
"Jun 8, 2023",0.705
"Jun 13, 2023",0.651
"Jun 23, 2023",0.519
"Jul 23, 2023",0.179
"Aug 22, 2023",0.173
"Sep 1, 2023",0.308
"Sep 6, 2023",0.409
"Sep 11, 2023",0.451
"Sep 16, 2023",0.541
"Sep 26, 2023",0.352
"Oct 1, 2023",0.189
"Oct 6, 2023",0.174
"Oct 11, 2023",0.149
"Oct 16, 2023",0.193
