system:time_start,meanNDRE
"Jan 24, 2021",-0.005
"Feb 23, 2021",0.293
"Mar 30, 2021",0.549
"Apr 4, 2021",0.638
"Apr 24, 2021",0.687
"May 29, 2021",0.674
"Jun 13, 2021",0.462
"Jun 18, 2021",0.563
"Jul 18, 2021",0.627
"Jul 23, 2021",0.266
"Aug 12, 2021",0.63
"Sep 1, 2021",0.698
"Sep 6, 2021",0.316
"Oct 1, 2021",0.682
"Oct 16, 2021",0.701
"Oct 21, 2021",0.394
"Oct 31, 2021",
"Jan 14, 2022",0.453
"Feb 8, 2022",0.409
"Feb 13, 2022",0.4
"Feb 28, 2022",0.442
"Mar 5, 2022",0.45
"Mar 10, 2022",0.42
"Mar 20, 2022",0.435
"Mar 25, 2022",0.486
"Apr 14, 2022",0.642
"Jun 13, 2022",0.67
"Jun 18, 2022",0.646
"Jun 23, 2022",0.636
"Jul 3, 2022",0.398
"Jul 8, 2022",0.555
"Jul 13, 2022",0.627
"Jul 18, 2022",0.654
"Aug 2, 2022",0.643
"Aug 12, 2022",0.345
"Aug 22, 2022",0.45
"Sep 21, 2022",0.519
"Oct 6, 2022",0.478
"Oct 26, 2022",0.291
"Nov 10, 2022",0.365
"Feb 13, 2023",0.006
"Mar 15, 2023",0.476
"Apr 4, 2023",0.592
"Apr 9, 2023",0.571
"May 29, 2023",0.731
"Jun 3, 2023",0.722
"Jun 13, 2023",0.651
"Jun 28, 2023",0.38
"Aug 22, 2023",0.173
"Sep 6, 2023",0.415
"Sep 11, 2023",0.451
