system:time_start,meanNDRE
"Jan 19, 2021",-0.053
"Mar 30, 2021",0.543
"Apr 4, 2021",0.63
"Apr 14, 2021",0.662
"Apr 24, 2021",0.677
"May 14, 2021",0.713
"May 29, 2021",0.67
"Jun 3, 2021",0.26
"Jun 13, 2021",0.484
"Jun 18, 2021",0.562
"Jul 18, 2021",0.624
"Jul 23, 2021",0.272
"Aug 12, 2021",0.634
"Sep 1, 2021",0.694
"Sep 6, 2021",0.315
"Oct 1, 2021",0.674
"Oct 16, 2021",0.696
"Jan 29, 2022",0.383
"Feb 8, 2022",0.408
"Feb 13, 2022",0.407
"Feb 28, 2022",0.445
"Mar 5, 2022",0.45
"Mar 10, 2022",0.412
"Mar 20, 2022",0.429
"Mar 25, 2022",0.479
"Apr 14, 2022",0.628
"Apr 19, 2022",0.645
"May 14, 2022",0.512
"May 19, 2022",0.303
"Jun 13, 2022",0.668
"Jun 18, 2022",0.643
"Jun 23, 2022",0.633
"Jul 3, 2022",0.395
"Jul 8, 2022",0.554
"Jul 13, 2022",0.626
"Jul 18, 2022",0.648
"Jul 28, 2022",0.505
"Aug 2, 2022",0.639
"Aug 12, 2022",0.354
"Aug 22, 2022",0.449
"Aug 27, 2022",0.471
"Sep 21, 2022",0.517
"Oct 6, 2022",0.474
"Oct 16, 2022",0.274
"Oct 26, 2022",0.279
"Nov 10, 2022",0.358
"Feb 3, 2023",0.411
"Mar 15, 2023",0.48
"Apr 4, 2023",0.606
"Apr 9, 2023",0.57
"May 4, 2023",0.653
"May 29, 2023",0.725
"Jun 3, 2023",0.716
"Jun 8, 2023",0.698
"Jun 13, 2023",0.639
"Jun 23, 2023",0.509
"Jul 23, 2023",0.176
"Aug 22, 2023",0.2
"Sep 1, 2023",0.38
"Sep 6, 2023",0.485
"Sep 11, 2023",0.503
"Sep 16, 2023",0.586
"Sep 26, 2023",0.339
"Oct 1, 2023",0.182
"Oct 6, 2023",0.18
"Oct 11, 2023",0.157
"Oct 16, 2023",0.187
