system:time_start,meanNDVI
"Jan 19, 2021",-0.036
"Mar 30, 2021",0.77
"Apr 4, 2021",0.852
"Apr 14, 2021",0.882
"Apr 24, 2021",0.897
"May 14, 2021",0.919
"May 29, 2021",0.911
"Jun 3, 2021",0.467
"Jun 13, 2021",0.697
"Jun 18, 2021",0.808
"Jul 18, 2021",0.884
"Jul 23, 2021",0.466
"Aug 12, 2021",0.891
"Sep 1, 2021",0.919
"Sep 6, 2021",0.541
"Oct 1, 2021",0.91
"Oct 16, 2021",0.918
"Jan 29, 2022",0.578
"Feb 8, 2022",0.621
"Feb 13, 2022",0.603
"Feb 28, 2022",0.639
"Mar 5, 2022",0.642
"Mar 10, 2022",0.597
"Mar 20, 2022",0.617
"Mar 25, 2022",0.667
"Apr 14, 2022",0.864
"Apr 19, 2022",0.837
"May 14, 2022",0.803
"May 19, 2022",0.528
"Jun 13, 2022",0.908
"Jun 18, 2022",0.866
"Jun 23, 2022",0.869
"Jul 3, 2022",0.643
"Jul 8, 2022",0.814
"Jul 13, 2022",0.868
"Jul 18, 2022",0.865
"Jul 28, 2022",0.645
"Aug 2, 2022",0.838
"Aug 12, 2022",0.547
"Aug 17, 2022",0.432
"Aug 22, 2022",0.679
"Aug 27, 2022",0.723
"Sep 21, 2022",0.766
"Oct 6, 2022",0.762
"Oct 16, 2022",0.466
"Oct 26, 2022",0.504
"Nov 10, 2022",0.603
"Feb 3, 2023",0.652
"Mar 15, 2023",0.686
"Apr 4, 2023",0.778
"Apr 9, 2023",0.775
"May 4, 2023",0.819
"May 29, 2023",0.896
"Jun 3, 2023",0.873
"Jun 8, 2023",0.86
"Jun 13, 2023",0.821
"Jun 23, 2023",0.74
"Jul 23, 2023",0.25
"Aug 22, 2023",0.272
"Sep 1, 2023",0.487
"Sep 6, 2023",0.602
"Sep 11, 2023",0.637
"Sep 16, 2023",0.786
"Sep 26, 2023",0.558
"Oct 1, 2023",0.286
"Oct 6, 2023",0.253
"Oct 11, 2023",0.211
"Oct 16, 2023",0.259
