date,meanNDVI
9/11/2020,
9/21/2020,0.403
1/24/2021,0
2/23/2021,0.445
3/30/2021,0.783
4/4/2021,0.864
4/24/2021,0.909
5/29/2021,0.913
6/13/2021,0.64
6/18/2021,0.814
7/18/2021,0.888
7/23/2021,0.458
8/12/2021,0.895
9/1/2021,0.924
9/6/2021,0.535
10/1/2021,0.919
10/16/2021,0.923
10/21/2021,0.664
10/31/2021,
1/14/2022,0.644
2/8/2022,0.589
2/13/2022,0.593
2/28/2022,0.637
3/5/2022,0.645
3/10/2022,0.607
3/20/2022,0.616
3/25/2022,0.676
4/14/2022,0.883
6/13/2022,0.911
6/18/2022,0.867
6/23/2022,0.876
7/3/2022,0.637
7/8/2022,0.806
7/13/2022,0.867
7/18/2022,0.87
8/2/2022,0.84
8/12/2022,0.54
8/22/2022,0.676
9/21/2022,0.765
10/6/2022,0.763
10/26/2022,0.518
11/10/2022,0.622
2/13/2023,0.01
3/15/2023,0.696
4/4/2023,0.786
4/9/2023,0.787
5/29/2023,0.911
6/3/2023,0.886
6/13/2023,0.844
6/28/2023,0.532
