system:time_start,meanNDVI
"Jan 19, 2021",-0.04
"Mar 30, 2021",0.727
"Apr 4, 2021",0.817
"Apr 14, 2021",0.863
"Apr 24, 2021",0.89
"May 14, 2021",0.906
"May 29, 2021",0.901
"Jun 3, 2021",0.491
"Jun 18, 2021",0.784
"Jul 18, 2021",0.864
"Jul 23, 2021",0.47
"Aug 12, 2021",0.882
"Sep 1, 2021",0.908
"Sep 6, 2021",0.568
"Oct 1, 2021",0.892
"Oct 16, 2021",0.902
"Jan 29, 2022",0.591
"Feb 8, 2022",0.627
"Feb 13, 2022",0.623
"Feb 28, 2022",0.654
"Mar 5, 2022",0.664
"Mar 10, 2022",0.608
"Mar 20, 2022",0.64
"Mar 25, 2022",0.68
"Apr 14, 2022",0.856
"Apr 19, 2022",0.831
"May 14, 2022",0.806
"May 19, 2022",0.537
"Jun 13, 2022",0.895
"Jun 18, 2022",0.854
"Jun 23, 2022",0.855
"Jul 3, 2022",0.64
"Jul 8, 2022",0.794
"Jul 13, 2022",0.851
"Jul 18, 2022",0.85
"Jul 28, 2022",0.646
"Aug 2, 2022",0.832
"Aug 12, 2022",0.576
"Aug 22, 2022",0.651
"Aug 27, 2022",0.723
"Sep 21, 2022",0.761
"Oct 6, 2022",0.761
"Oct 16, 2022",0.477
"Oct 26, 2022",0.526
"Nov 10, 2022",0.627
"Feb 3, 2023",0.62
"Mar 15, 2023",0.663
"Apr 4, 2023",0.74
"Apr 9, 2023",0.73
"May 4, 2023",0.788
"May 29, 2023",0.856
"Jun 3, 2023",0.829
"Jun 8, 2023",0.799
"Jun 13, 2023",0.765
"Jun 23, 2023",0.672
"Jul 23, 2023",0.243
"Aug 22, 2023",0.316
"Sep 1, 2023",0.504
"Sep 6, 2023",0.612
"Sep 11, 2023",0.631
"Sep 16, 2023",0.746
"Sep 26, 2023",0.536
"Oct 1, 2023",0.308
"Oct 6, 2023",0.292
"Oct 11, 2023",0.228
"Oct 16, 2023",0.27
