ISOLAB IDENTITY,Delta_corr,%N corr.
133,1.669,4.55173521
134,1.268,4.350513398
135,2.956,4.298286252
136,1.517,3.916281309
137,0.694,3.269253496
138,1.548,3.741670166
139,1.157,4.370934776
140,1.298,4.030773885
141,1.904,4.473582645
142,1.474,4.199586524
143,1.845,4.123949445
144,1.569,3.510111452
145,3.221,3.654461763
146,4.432,3.291522469
147,3.955,3.02653975
148,4.243,2.820272817
149,3.619,3.210769396
150,3.495,2.982672982
151,4.016,2.644833582
152,4.471,3.799002199
153,4.4438,3.253841959
154,5.0248,3.496597797
155,6.6598,3.503456935
156,4.7478,3.18190512
121,1.9058,3.158735547
122,2.3228,3.644889995
123,1.8358,3.357174161
124,2.3478,4.059601459
125,1.2308,3.398989772
126,2.4088,3.181582093
127,5.5198,3.159698193
128,1.6528,3.000424633
129,2.2868,3.529546896
130,4.3638,3.154848989
131,2.9838,3.17949038
132,3.8338,3.210279761
109,1.8978,3.252868343
110,1.6068,3.574129984
111,1.1168,2.089833928
112,1.9228,2.134931906
113,1.6178,3.484328207
114,1.3198,3.481079518
115,2.1478,2.89287298
116,2.4216,3.796160155
117,1.1226,3.909841895
118,0.7366,3.653681209
119,2.2636,3.518879896
120,2.1216,3.239261927
1,7.7406,3.941609445
4,7.9256,3.670449554
7,3.9986,3.588296265
10,5.8886,3.489278576
13,3.0026,1.809189355
16,5.2126,1.70490003
19,2.7536,1.697008779
22,8.9256,1.516487946
25,1.3166,1.97113664
28,2.9696,1.429657725
31,0.4856,2.374616161
34,2.5356,2.020912187
37,0.3726,2.674552979
40,1.9196,2.050740355
43,2.0426,2.470716539
46,0.9136,2.83886026
49,2.8466,2.717211804
52,-0.1274,3.284791111
55,0.792285714,3.420516093
58,-0.371714286,3.789830814
61,1.434285714,2.341216459
64,0.711285714,2.045856338
67,2.995285714,2.518382034
70,0.537285714,2.877269247
73,0.142285714,2.829308275
76,-0.700714286,3.067423506
79,-0.557714286,2.764618869
82,0.658285714,2.081886719
85,-0.639714286,2.842066798
88,-0.448714286,2.931526765
91,-0.163714286,2.811933911
94,-0.571714286,2.900324196
97,-0.341714286,3.504762649
100,-0.029714286,3.844063101
103,-0.455714286,3.465102445
106,-0.257714286,3.591205577
6,7.511285714,3.558045056
9,3.896285714,3.720213976
12,6.8226,3.553248119
15,5.0846,1.893862413
18,5.1276,1.686215
21,4.5746,1.453596996
24,11.9186,1.348794219
27,4.2436,1.267369542
30,3.9906,1.451775147
33,3.6266,1.441592265
36,5.9306,1.469287996
39,4.0136,1.936942659
42,3.8376,1.95760483
45,4.3336,1.87105539
48,4.2526,2.147301328
51,4.5656,2.447507166
54,2.5596,2.441356536
57,3.9256,2.5760255
60,2.3116,2.865132676
63,3.7096,1.802322155
66,2.4696,1.702457385
69,3.6886,2.054453938
72,4.0086,1.811090634
75,2.4236,2.140147156
78,-0.1484,2.622103502
81,0.0548,2.321996374
84,1.7828,1.880522094
87,1.2488,2.915002978
90,2.4098,2.822576361
93,1.1968,2.770289513
96,2.8168,2.967362411
99,1.6398,3.519115238
102,0.8668,3.453764807
105,0.3948,3.315797187
108,1.4438,3.34940203
5,6.1458,3.889660848
8,3.5768,4.28300103
11,5.2488,3.555433797
14,-0.1572,3.06429872
17,-0.3352,3.465549231
20,-0.4292,3.414343317
23,-0.1522,3.220646604
26,-0.5682,4.131549109
29,-0.6932,2.429491725
32,-0.8662,1.879454966
35,-0.6482,3.037954549
38,-0.5202,3.612585929
41,-0.5322,3.0725564
44,-0.668875,2.581097151
47,-0.332875,3.70258713
50,-0.517875,4.168551897
53,-0.725875,3.402361191
56,-0.400875,4.218435776
59,-0.252875,3.802988985
62,-0.151875,3.27883406
65,-0.563875,3.384091518
68,-0.526875,2.581198486
71,-0.260875,3.167431676
74,-0.272875,3.130351475
77,-0.325875,3.223831406
80,-0.551875,3.409723541
83,-0.377875,2.938914989
86,-0.643875,3.324119544
89,-0.476875,2.934338803
92,-0.518875,3.172235315
95,-0.412875,3.261872518
98,-0.363875,4.028863173
101,-0.130875,3.805976816
104,-0.648875,3.70521523
107,-0.244875,3.38671417
157,4.4815,2.189097205
158,4.0975,1.792611264
159,3.4185,1.678500329
160,3.5125,1.436266132
161,3.7295,1.611762078
162,4.7305,1.576349965
163,3.6825,1.68975027
164,5.1615,1.489764523
165,3.7295,1.729381262
166,2.9695,1.557885161
167,4.4165,1.691776658
168,2.7835,1.556220341
169,4.0515,1.21106003
170,2.8055,1.156734989
171,3.3595,1.131153746
172,3.5655,1.170483683
173,3.9195,0.97964947
174,2.4805,1.10376364
175,2.9945,1.015635506
176,3.0585,0.936044426
177,2.4792,1.046119743
178,2.6902,1.034900835
179,2.3412,0.992688763
180,4.5562,0.892345154
181,6.3332,1.456756655
182,2.0672,1.053153287
183,3.5932,0.915496461
184,4.2012,1.042266087
185,2.4712,1.123318217
186,3.1122,0.670056277
187,3.5552,1.093963672
188,2.0512,1.030426151
189,2.6102,1.108892719
190,4.0002,1.143659007
191,2.2302,1.026850866
192,4.8462,0.743911129
193,2.7082,0.538958935
194,3.3492,0.503825319
195,2.9332,0.468189523
196,2.2752,0.492685979
197,2.3422,0.470897816
198,2.2012,0.476957806
199,4.3562,0.661854834
