"date","quadrant (Q)","sample","tara (g)","wet (g)","dry (g)","wet-tara","dry-tara","WC(%)","Harvest Sample","ISOLAB IDENTITY","Delta_N","%N corr.","Delta_C","%C corr.","Cut","Material"
2022-12-13,1,1,10.35,22.7,11.96,12.35,1.61,86.9635627530364,NA,109,1.8978,3.252868343,-31.5748,36.41197425,NA,"aboveground biomass"
2022-12-13,1,2,10.35,36.5,13.7,26.15,3.35,87.189292543021,NA,110,1.6068,3.574129984,-31.6018,41.13392938,NA,"aboveground biomass"
2022-12-13,1,3,10.35,37.89,15.97,27.54,5.62,79.5933188090051,NA,111,1.1168,2.089833928,-30.3438,23.82619589,NA,"aboveground biomass"
2022-12-13,2,1,10.35,47.33,18.01,36.98,7.66,79.2861005949162,NA,112,1.9228,2.134931906,-30.9448,23.74328039,NA,"aboveground biomass"
2022-12-13,2,2,10.35,32.27,14.11,21.92,3.76,82.8467153284672,NA,113,1.6178,3.484328207,-31.5438,39.16843036,NA,"aboveground biomass"
2022-12-13,2,3,10.35,35.45,14.58,25.1,4.23,83.1474103585657,NA,114,1.3198,3.481079518,-31.3738,37.85724857,NA,"aboveground biomass"
2022-12-13,3,1,10.35,40.69,16.6,30.34,6.25,79.4001318391562,NA,115,2.1478,2.89287298,-31.9198,31.24253548,NA,"aboveground biomass"
2022-12-13,3,2,10.35,22.68,12.81,12.33,2.46,80.0486618004866,NA,116,2.4216,3.796160155,-31.6778,37.65376411,NA,"aboveground biomass"
2022-12-13,3,3,10.35,28.38,12.87,18.03,2.52,86.0232945091514,NA,117,1.1226,3.909841895,-31.5658,43.04334813,NA,"aboveground biomass"
2022-12-13,4,1,10.35,43.18,15.97,32.83,5.62,82.8815108132805,NA,118,0.7366,3.653681209,-31.6448,41.40413896,NA,"aboveground biomass"
2022-12-13,4,2,10.35,56.29,16.54,45.94,6.19,86.5259033521985,NA,119,2.2636,3.518879896,-32.1088,42.18811754,NA,"aboveground biomass"
2022-12-13,4,3,10.35,28.71,13.3,18.36,2.95,83.9324618736383,NA,120,2.1216,3.239261927,-31.5808,41.0607097,NA,"aboveground biomass"
2023-02-07,1,1,10.63,33.45,16.32,22.82,5.69,75.0657318141981,NA,121,1.9058,3.158735547,-31.5148,42.07195629,NA,"aboveground biomass"
2023-02-07,1,2,10.6,36.47,16.52,25.87,5.92,77.1163509856977,NA,122,2.3228,3.644889995,-31.1138,41.86590767,NA,"aboveground biomass"
2023-02-07,1,3,10.5,27.38,14.55,16.88,4.05,76.0071090047393,NA,123,1.8358,3.357174161,-30.9778,40.6963631,NA,"aboveground biomass"
2023-02-07,2,1,10.59,14.75,11.17,4.16,0.58,86.0576923076923,NA,124,2.3478,4.059601459,-31.0948,42.54912078,NA,"aboveground biomass"
2023-02-07,2,2,10.64,25.01,14.44,14.37,3.8,73.5560194850383,NA,125,1.2308,3.398989772,-31.2128,40.52994677,NA,"aboveground biomass"
2023-02-07,2,3,10.56,43.58,18.17,33.02,7.61,76.9533615990309,NA,126,2.4088,3.181582093,-31.1968,42.0725818,NA,"aboveground biomass"
2023-02-07,3,1,10.61,18.32,12.19,7.71,1.58,79.5071335927367,NA,127,5.5198,3.159698193,-30.6588,42.59279582,NA,"aboveground biomass"
2023-02-07,3,2,10.54,27.79,14.62,17.25,4.08,76.3478260869565,NA,128,1.6528,3.000424633,-31.0608,43.51863164,NA,"aboveground biomass"
