"ISOLAB IDENTITY","Delta_N","%N corr.","Delta_C","%C corr.","date","Cut","Material","quadrant (Q)","sample"
133,1.669,4.55173521,-28.67485714,44.16711919,2023-03-17,NA,"aboveground biomass",1,1
134,1.268,4.350513398,-28.09185714,43.31048582,2023-03-17,NA,"aboveground biomass",1,2
135,2.956,4.298286252,-28.38585714,44.44330397,2023-03-17,NA,"aboveground biomass",1,3
136,1.517,3.916281309,-28.38685714,43.27855463,2023-03-17,NA,"aboveground biomass",2,1
137,0.694,3.269253496,-29.06485714,40.36457468,2023-03-17,NA,"aboveground biomass",2,2
138,1.548,3.741670166,-29.03985714,43.18666216,2023-03-17,NA,"aboveground biomass",2,3
139,1.157,4.370934776,-28.46685714,42.9247175,2023-03-17,NA,"aboveground biomass",3,1
140,1.298,4.030773885,-28.99685714,42.98702028,2023-03-17,NA,"aboveground biomass",3,2
141,1.904,4.473582645,-28.45885714,43.5023638,2023-03-17,NA,"aboveground biomass",3,3
142,1.474,4.199586524,-28.01185714,42.88508772,2023-03-17,NA,"aboveground biomass",4,1
143,1.845,4.123949445,-28.92985714,43.33222678,2023-03-17,NA,"aboveground biomass",4,2
144,1.569,3.510111452,-28.86685714,43.62570933,2023-03-17,NA,"aboveground biomass",4,3
145,3.221,3.654461763,-28.80985714,44.28788083,2023-04-14,NA,"aboveground biomass",1,1
146,4.432,3.291522469,-29.57185714,43.84143129,2023-04-14,NA,"aboveground biomass",1,2
147,3.955,3.02653975,-29.51285714,43.83597103,2023-04-14,NA,"aboveground biomass",1,3
148,4.243,2.820272817,-29.23885714,43.79588473,2023-04-14,NA,"aboveground biomass",2,1
149,3.619,3.210769396,-29.13385714,44.30580055,2023-04-14,NA,"aboveground biomass",2,2
150,3.495,2.982672982,-29.21885714,43.74853406,2023-04-14,NA,"aboveground biomass",2,3
151,4.016,2.644833582,-29.47585714,44.03705004,2023-04-14,NA,"aboveground biomass",3,1
152,4.471,3.799002199,-28.86585714,43.78273722,2023-04-14,NA,"aboveground biomass",3,2
153,4.4438,3.253841959,-29.4048,44.13575768,2023-04-14,NA,"aboveground biomass",3,3
154,5.0248,3.496597797,-28.9188,44.21812489,2023-04-14,NA,"aboveground biomass",4,1
155,6.6598,3.503456935,-28.6958,44.34171717,2023-04-14,NA,"aboveground biomass",4,2
156,4.7478,3.18190512,-29.3028,43.84498156,2023-04-14,NA,"aboveground biomass",4,3
121,1.9058,3.158735547,-31.5148,42.07195629,2023-02-07,NA,"aboveground biomass",1,1
122,2.3228,3.644889995,-31.1138,41.86590767,2023-02-07,NA,"aboveground biomass",1,2
123,1.8358,3.357174161,-30.9778,40.6963631,2023-02-07,NA,"aboveground biomass",1,3
124,2.3478,4.059601459,-31.0948,42.54912078,2023-02-07,NA,"aboveground biomass",2,1
125,1.2308,3.398989772,-31.2128,40.52994677,2023-02-07,NA,"aboveground biomass",2,2
126,2.4088,3.181582093,-31.1968,42.0725818,2023-02-07,NA,"aboveground biomass",2,3
127,5.5198,3.159698193,-30.6588,42.59279582,2023-02-07,NA,"aboveground biomass",3,1
128,1.6528,3.000424633,-31.0608,43.51863164,2023-02-07,NA,"aboveground biomass",3,2
129,2.2868,3.529546896,-30.6858,41.99413232,2023-02-07,NA,"aboveground biomass",3,3
130,4.3638,3.154848989,-30.2458,42.6751773,2023-02-07,NA,"aboveground biomass",4,1
131,2.9838,3.17949038,-30.9268,42.44317135,2023-02-07,NA,"aboveground biomass",4,2
132,3.8338,3.210279761,-31.1248,43.28701552,2023-02-07,NA,"aboveground biomass",4,3
109,1.8978,3.252868343,-31.5748,36.41197425,2022-12-13,NA,"aboveground biomass",1,1
110,1.6068,3.574129984,-31.6018,41.13392938,2022-12-13,NA,"aboveground biomass",1,2
111,1.1168,2.089833928,-30.3438,23.82619589,2022-12-13,NA,"aboveground biomass",1,3
112,1.9228,2.134931906,-30.9448,23.74328039,2022-12-13,NA,"aboveground biomass",2,1
113,1.6178,3.484328207,-31.5438,39.16843036,2022-12-13,NA,"aboveground biomass",2,2
114,1.3198,3.481079518,-31.3738,37.85724857,2022-12-13,NA,"aboveground biomass",2,3
115,2.1478,2.89287298,-31.9198,31.24253548,2022-12-13,NA,"aboveground biomass",3,1
116,2.4216,3.796160155,-31.6778,37.65376411,2022-12-13,NA,"aboveground biomass",3,2
117,1.1226,3.909841895,-31.5658,43.04334813,2022-12-13,NA,"aboveground biomass",3,3
118,0.7366,3.653681209,-31.6448,41.40413896,2022-12-13,NA,"aboveground biomass",4,1
119,2.2636,3.518879896,-32.1088,42.18811754,2022-12-13,NA,"aboveground biomass",4,2
120,2.1216,3.239261927,-31.5808,41.0607097,2022-12-13,NA,"aboveground biomass",4,3
1,7.7406,3.941609445,-31.1048,44.98476443,2020-10-19,1,"mix",NA,1
4,7.9256,3.670449554,-30.5098,43.40246243,2020-10-19,1,"mix",NA,2
7,3.9986,3.588296265,-30.6458,43.92343973,2020-10-19,1,"mix",NA,3
10,5.8886,3.489278576,-30.9368,43.86384967,2020-10-19,1,"mix",NA,4
13,3.0026,1.809189355,-30.0308,43.69433037,2021-05-26,2,"mix",NA,1
16,5.2126,1.70490003,-30.2248,43.83001105,2021-05-26,2,"mix",NA,2
19,2.7536,1.697008779,-29.8268,43.84780142,2021-05-26,2,"mix",NA,3
22,8.9256,1.516487946,-30.0478,44.30161388,2021-05-26,2,"mix",NA,4
25,1.3166,1.97113664,-30.4908,42.83479605,2021-07-20,3,"mix",NA,1
28,2.9696,1.429657725,-30.7978,43.47703492,2021-07-20,3,"mix",NA,2
31,0.4856,2.374616161,-30.1668,43.2790589,2021-07-20,3,"mix",NA,3
34,2.5356,2.020912187,-30.3538,43.99014398,2021-07-20,3,"mix",NA,4
37,0.3726,2.674552979,-29.5998,43.08497576,2021-09-02,4,"mix",NA,1
40,1.9196,2.050740355,-30.4028,42.69566182,2021-09-02,4,"mix",NA,2
43,2.0426,2.470716539,-29.7848,42.76373248,2021-09-02,4,"mix",NA,3
46,0.9136,2.83886026,-29.6008,43.65154798,2021-09-02,4,"mix",NA,4
49,2.8466,2.717211804,-30.9688,42.95557783,2021-10-19,5,"mix",NA,1
52,-0.1274,3.284791111,-30.8038,44.12865002,2021-10-19,5,"mix",NA,2
55,0.792285714,3.420516093,-30.775,43.85001617,2021-10-19,5,"mix",NA,3
58,-0.371714286,3.789830814,-30.05,44.18071902,2021-10-19,5,"mix",NA,4
61,1.434285714,2.341216459,-29.899,43.25294804,2022-05-10,6,"mix",NA,1
64,0.711285714,2.045856338,-29.914,43.28135838,2022-05-10,6,"mix",NA,2
67,2.995285714,2.518382034,-29.482,42.86280518,2022-05-10,6,"mix",NA,3
70,0.537285714,2.877269247,-29.286,43.45724361,2022-05-10,6,"mix",NA,4
73,0.142285714,2.829308275,-29.203,43.92179996,2022-06-27,7,"mix",NA,1
76,-0.700714286,3.067423506,-29.206,44.50774316,2022-06-27,7,"mix",NA,2
79,-0.557714286,2.764618869,-28.629,44.87652089,2022-06-27,7,"mix",NA,3
82,0.658285714,2.081886719,-29.824,42.57628201,2022-06-27,7,"mix",NA,4
85,-0.639714286,2.842066798,-28.141,44.29609862,2022-08-08,8,"mix",NA,1
