Site,Person,Crop,Date,Cut ,Material,Quadrant,Sample,ISOLAB IDENTITY,NOTES,ANALYZED,PERSON
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,1,1,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,2,4,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,legume,,2,5,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,grass,,2,6,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,3,7,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,legume,,3,8,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,grass,,3,9,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,mix,,4,10,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,legume,,4,11,,YES,Seraina
CH-OE2,FT,temporary grassland,19.10.2020,1,grass,,4,12,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,1,13,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,1,14,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,1,15,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,2,16,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,2,17,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,2,18,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,3,19,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,3,20,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,3,21,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,mix,,4,22,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,legume,,4,23,,YES,Seraina
CH-OE2,FT,temporary grassland,26.05.2021,2,grass,,4,24,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,1,25,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,1,26,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,1,27,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,2,28,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,2,29,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,2,30,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,3,31,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,3,32,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,3,33,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,mix,,4,34,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,legume,,4,35,,YES,Seraina
CH-OE2,FT,temporary grassland,20.07.2021,3,grass,,4,36,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,mix,,1,37,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,legume,,1,38,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,grass,,1,39,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,mix,,2,40,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,legume,,2,41,,YES,Seraina
CH-OE2,FT,temporary grassland,02.09.2021,4,grass,,2,42,,YES,Seraina
