date,quadrant (Q),sample,tara (g),wet (g),dry (g),wet - tara,dry - tara,water,WC (%),Material
17.07.2023,1,1,12.94,58.09,55.3,45.15,42.36,2.79,6.179401993,residues
17.07.2023,1,2,12.82,26.89,25.65,14.07,12.83,1.24,8.81307747,residues
17.07.2023,1,3,12.82,21.81,20.97,8.99,8.15,0.84,9.343715239,residues
17.07.2023,2,1,15.75,24.04,23.14,8.29,7.39,0.9,10.85645356,residues
17.07.2023,2,2,15.6,21.36,20.55,5.76,4.95,0.81,14.0625,residues
17.07.2023,2,3,15.42,26.23,25.24,10.81,9.82,0.99,9.158186864,residues
17.07.2023,3,1,15.48,26.54,25.43,11.06,9.95,1.11,10.03616637,residues
17.07.2023,3,2,15.33,26.96,25.9,11.63,10.57,1.06,9.114359415,residues
17.07.2023,3,3,15.54,20.8,20.17,5.26,4.63,0.63,11.97718631,residues
17.07.2023,4,1,15.41,30.82,29.76,15.41,14.35,1.06,6.878650227,residues
17.07.2023,4,2,15.51,23.46,22.59,7.95,7.08,0.87,10.94339623,residues
17.07.2023,4,3,15.37,21.68,20.89,6.31,5.52,0.79,12.51980983,residues
