date,quadrant (Q),sample,tara (g),wet (g),dry (g),wet - tara,dry - tara,water,WC (%),Material
17.07.2023,1,1,12.95,32.5,27.3,19.55,14.35,5.2,26.59846547,stubbles
17.07.2023,1,2,12.92,32.34,28.68,19.42,15.76,3.66,18.84654995,stubbles
17.07.2023,1,3,12.88,33.62,28.89,20.74,16.01,4.73,22.80617165,stubbles
17.07.2023,2,1,12.91,28.57,26.67,15.66,13.76,1.9,12.13282248,stubbles
17.07.2023,2,2,15.6,37.6,34.84,22,19.24,2.76,12.54545455,stubbles
17.07.2023,2,3,12.9,34.22,30.92,21.32,18.02,3.3,15.47842402,stubbles
17.07.2023,3,1,15.43,29.83,27.65,14.4,12.22,2.18,15.13888889,stubbles
17.07.2023,3,2,15.49,37.53,33.54,22.04,18.05,3.99,18.10344828,stubbles
17.07.2023,3,3,15.39,18,16.95,2.61,1.56,1.05,40.22988506,stubbles
17.07.2023,4,1,15.42,29.29,27.01,13.87,11.59,2.28,16.43835616,stubbles
17.07.2023,4,2,15.38,33.53,31.77,18.15,16.39,1.76,9.696969697,stubbles
17.07.2023,4,3,15.32,33.41,31.37,18.09,16.05,2.04,11.27694859,stubbles
