"date","quadrant (Q)","sample","tara (g)","wet (g)","dry (g)","wet-tara","dry-tara","WC(%)"
2022-12-13,1,1,10.35,22.7,11.96,12.35,1.61,86.9635627530364
2022-12-13,1,2,10.35,36.5,13.7,26.15,3.35,87.189292543021
2022-12-13,1,3,10.35,37.89,15.97,27.54,5.62,79.5933188090051
2022-12-13,2,1,10.35,47.33,18.01,36.98,7.66,79.2861005949162
2022-12-13,2,2,10.35,32.27,14.11,21.92,3.76,82.8467153284672
2022-12-13,2,3,10.35,35.45,14.58,25.1,4.23,83.1474103585657
2022-12-13,3,1,10.35,40.69,16.6,30.34,6.25,79.4001318391562
2022-12-13,3,2,10.35,22.68,12.81,12.33,2.46,80.0486618004866
2022-12-13,3,3,10.35,28.38,12.87,18.03,2.52,86.0232945091514
2022-12-13,4,1,10.35,43.18,15.97,32.83,5.62,82.8815108132805
2022-12-13,4,2,10.35,56.29,16.54,45.94,6.19,86.5259033521985
2022-12-13,4,3,10.35,28.71,13.3,18.36,2.95,83.9324618736383
2023-02-07,1,1,10.63,33.45,16.32,22.82,5.69,75.0657318141981
2023-02-07,1,2,10.6,36.47,16.52,25.87,5.92,77.1163509856977
2023-02-07,1,3,10.5,27.38,14.55,16.88,4.05,76.0071090047393
2023-02-07,2,1,10.59,14.75,11.17,4.16,0.58,86.0576923076923
2023-02-07,2,2,10.64,25.01,14.44,14.37,3.8,73.5560194850383
2023-02-07,2,3,10.56,43.58,18.17,33.02,7.61,76.9533615990309
2023-02-07,3,1,10.61,18.32,12.19,7.71,1.58,79.5071335927367
2023-02-07,3,2,10.54,27.79,14.62,17.25,4.08,76.3478260869565
2023-02-07,3,3,10.54,23.27,13.32,12.73,2.78,78.1618224666143
2023-02-07,4,1,10.47,24.24,13.79,13.77,3.32,75.8896151053014
2023-02-07,4,2,10.51,29.7,15.28,19.19,4.77,75.1433038040646
2023-02-07,4,3,10.53,26.05,14.19,15.52,3.66,76.4175257731959
2023-03-17,1,1,10.35,42.98,18.07,32.63,7.72,76.3407906834202
2023-03-17,1,2,10.44,35.92,16.54,25.48,6.1,76.0596546310832
2023-03-17,1,3,10.45,36.3,16.45,25.85,6,76.78916827853
2023-03-17,2,1,10.39,29.37,15.06,18.98,4.67,75.3951527924131
2023-03-17,2,2,10.36,38.98,18.11,28.62,7.75,72.9210342417889
2023-03-17,2,3,10.34,52,20.38,41.66,10.04,75.9001440230437
2023-03-17,3,1,10.29,40.99,17.61,30.7,7.32,76.1563517915309
2023-03-17,3,2,10.28,37.75,16.64,27.47,6.36,76.847469967237
