"date","quadrant (Q)","sample","tara (g)","wet (g)","dry (g)"
2022-12-13,1,1,10.35,22.7,11.96
2022-12-13,1,2,10.35,36.5,13.7
2022-12-13,1,3,10.35,37.89,15.97
2022-12-13,2,1,10.35,47.33,18.01
2022-12-13,2,2,10.35,32.27,14.11
2022-12-13,2,3,10.35,35.45,14.58
2022-12-13,3,1,10.35,40.69,16.6
2022-12-13,3,2,10.35,22.68,12.81
2022-12-13,3,3,10.35,28.38,12.87
2022-12-13,4,1,10.35,43.18,15.97
2022-12-13,4,2,10.35,56.29,16.54
2022-12-13,4,3,10.35,28.71,13.3
2023-02-07,1,1,10.63,33.45,16.32
2023-02-07,1,2,10.6,36.47,16.52
2023-02-07,1,3,10.5,27.38,14.55
2023-02-07,2,1,10.59,14.75,11.17
2023-02-07,2,2,10.64,25.01,14.44
2023-02-07,2,3,10.56,43.58,18.17
2023-02-07,3,1,10.61,18.32,12.19
2023-02-07,3,2,10.54,27.79,14.62
2023-02-07,3,3,10.54,23.27,13.32
2023-02-07,4,1,10.47,24.24,13.79
2023-02-07,4,2,10.51,29.7,15.28
2023-02-07,4,3,10.53,26.05,14.19
2023-03-17,1,1,10.35,42.98,18.07
2023-03-17,1,2,10.44,35.92,16.54
2023-03-17,1,3,10.45,36.3,16.45
2023-03-17,2,1,10.39,29.37,15.06
2023-03-17,2,2,10.36,38.98,18.11
2023-03-17,2,3,10.34,52,20.38
2023-03-17,3,1,10.29,40.99,17.61
2023-03-17,3,2,10.28,37.75,16.64
2023-03-17,3,3,10.31,32.1,15.35
2023-03-17,4,1,10.32,28.43,14.87
2023-03-17,4,2,10.37,41.49,17.88
2023-03-17,4,3,10.4,31.9,16.08
2023-04-14,1,1,12.79,109.81,30.09
2023-04-14,1,2,12.68,143.16,34.25
2023-04-14,1,3,12.68,154.85,39.05
2023-04-14,2,1,12.81,151.68,39.16
2023-04-14,2,2,12.83,174.66,43.62
2023-04-14,2,3,12.84,122.35,33.05
2023-04-14,3,1,12.73,105.94,31.52
2023-04-14,3,2,12.76,43.72,18.98
2023-04-14,3,3,12.62,147.99,38.27
2023-04-14,4,1,12.65,82.5,26.98
2023-04-14,4,2,12.62,50.5,21.01
2023-04-14,4,3,12.63,75.99,26.44
2023-05-19,1,1,30,374.58,90.44
2023-05-19,1,2,30.07,669.29,140.2
2023-05-19,1,3,29.97,447.55,106.08
2023-05-19,2,1,30,542.31,126.16
2023-05-19,2,2,29.94,428.88,102.1
2023-05-19,2,3,30,442.5,102.04
2023-05-19,3,1,29.84,640.75,143.48
2023-05-19,3,2,29.91,411.19,100.5
2023-05-19,3,3,29.96,586.47,133.25
2023-05-19,4,1,29.86,403.87,102.99
2023-05-19,4,2,29.77,298.95,81.55
2023-05-19,4,3,29.97,291.73,82.35
2023-06-19,1,1,29.12,241.45,126.6
2023-06-19,1,2,12.82,250.13,118.64
2023-06-19,1,3,12.72,269.34,115.18
2023-06-19,2,1,12.67,515.3,209.94
2023-06-19,2,2,12.71,322.23,138.52
2023-06-19,2,3,12.68,266.6,115.89
2023-06-19,3,1,12.72,269.34,189.76
2023-06-19,3,2,12.69,381.41,174.4
2023-06-19,3,3,12.76,454.02,142.68
2023-06-19,4,1,12.73,304.2,144.18
2023-06-19,4,2,12.71,387.75,171.06
2023-06-19,4,3,12.8,346.92,160.6
2023-06-28,1,1,14.99,390.98,211.3
2023-06-28,1,2,14.87,268.81,154.02
2023-06-28,1,3,14.86,430.11,216.65
2023-06-28,2,1,29.15,316.13,189.99
2023-06-28,2,2,14.84,358.36,185.14
2023-06-28,2,3,14.84,320.76,161.96
2023-06-28,3,1,14.78,214.22,135.6
2023-06-28,3,2,29.15,429.55,229.46
2023-06-28,3,3,14.95,360.29,183.99
2023-06-28,4,1,14.88,294.27,172.41
2023-06-28,4,2,12.62,341.27,197
2023-06-28,4,3,12.65,322.74,186.18
2023-07-11,1,1,29.42,184,159.37
2023-07-11,1,2,29.33,270.81,216.56
2023-07-11,1,3,29.4,190.13,159.85
2023-07-11,2,1,29.45,389.29,310.35
2023-07-11,2,2,29.44,190.5,154.28
2023-07-11,2,3,29.36,233.67,198.23
2023-07-11,3,1,29.55,183.6,162.26
2023-07-11,3,2,29.48,225.61,195.61
2023-07-11,3,3,29.47,250.9,205.11
2023-07-11,4,1,29.6,169.47,147.51
2023-07-11,4,2,29.62,201.57,179.85
2023-07-11,4,3,29.53,176.85,155.35
